Rank,SPI,OP,,Weight,"Rate(3,2)",Rate(1)
1,-3.09,0.167785235,0.001677852,,,
2,-3.03,0.33557047,0.003355705,,,
3,-2.82,0.503355705,0.005033557,,,
4,-2.78,0.67114094,0.006711409,,,
5,-2.77,0.838926174,0.008389262,,,
6,-2.69,1.006711409,0.010067114,,,
7,-2.55,1.174496644,0.011744966,,,
8,-2.46,1.342281879,0.013422819,,,
9,-2.37,1.510067114,0.015100671,,,
10,-2.37,1.677852349,0.016778523,,,
11,-2.35,1.845637584,0.018456376,,,
12,-2.35,2.013422819,0.020134228,,,
13,-2.31,2.181208054,0.021812081,,,
14,-2.25,2.348993289,0.023489933,,,
15,-2.25,2.516778523,0.025167785,,,
16,-2.22,2.684563758,0.026845638,,,
17,-2.21,2.852348993,0.02852349,,,
18,-2.18,3.020134228,0.030201342,,,
19,-2.16,3.187919463,0.031879195,,,
20,-2.14,3.355704698,0.033557047,,,
21,-2.04,3.523489933,0.035234899,,,
22,-2.03,3.691275168,0.036912752,,,
23,-2.03,3.859060403,0.038590604,,,
24,-2.02,4.026845638,0.040268456,,,
25,-2.02,4.194630872,0.041946309,,,
26,-2.01,4.362416107,0.043624161,,,
27,-2,4.530201342,0.045302013,,,
28,-1.99,4.697986577,0.046979866,,,
29,-1.95,4.865771812,0.048657718,,,
30,-1.9,5.033557047,0.05033557,,,
31,-1.9,5.201342282,0.052013423,,,
32,-1.83,5.369127517,0.053691275,,,
33,-1.72,5.536912752,0.055369128,,,
34,-1.71,5.704697987,0.05704698,,,
35,-1.71,5.872483221,0.058724832,,,
36,-1.69,6.040268456,0.060402685,,,
37,-1.65,6.208053691,0.062080537,,,
38,-1.64,6.375838926,0.063758389,,,
39,-1.62,6.543624161,0.065436242,,,
40,-1.59,6.711409396,0.067114094,,,
41,-1.59,6.879194631,0.068791946,,,
42,-1.58,7.046979866,0.070469799,,,
43,-1.58,7.214765101,0.072147651,,,
44,-1.57,7.382550336,0.073825503,,,
45,-1.57,7.55033557,0.075503356,,,
46,-1.54,7.718120805,0.077181208,,,
47,-1.53,7.88590604,0.07885906,,,
48,-1.51,8.053691275,0.080536913,,,
49,-1.5,8.22147651,0.082214765,,,
50,-1.46,8.389261745,0.083892617,,,
51,-1.45,8.55704698,0.08557047,,,
52,-1.45,8.724832215,0.087248322,,,
53,-1.45,8.89261745,0.088926174,,,
54,-1.43,9.060402685,0.090604027,,,
55,-1.41,9.228187919,0.092281879,,,
56,-1.41,9.395973154,0.093959732,,,
57,-1.39,9.563758389,0.095637584,,,
58,-1.38,9.731543624,0.097315436,,,
59,-1.38,9.899328859,0.098993289,,,
60,-1.37,10.06711409,0.100671141,,,
61,-1.37,10.23489933,0.102348993,,,
62,-1.36,10.40268456,0.104026846,,,
63,-1.34,10.5704698,0.105704698,,,
64,-1.34,10.73825503,0.10738255,,,
65,-1.32,10.90604027,0.109060403,,,
66,-1.32,11.0738255,0.110738255,,,
67,-1.29,11.24161074,0.112416107,,,
68,-1.28,11.40939597,0.11409396,,,
69,-1.25,11.57718121,0.115771812,,,
70,-1.25,11.74496644,0.117449664,,,
71,-1.25,11.91275168,0.119127517,,,
72,-1.25,12.08053691,0.120805369,,,
73,-1.24,12.24832215,0.122483221,,,
74,-1.24,12.41610738,0.124161074,,,
75,-1.23,12.58389262,0.125838926,,,
76,-1.23,12.75167785,0.127516779,,,
77,-1.23,12.91946309,0.129194631,,,
78,-1.2,13.08724832,0.130872483,,,
79,-1.2,13.25503356,0.132550336,,,
80,-1.19,13.42281879,0.134228188,,,
81,-1.19,13.59060403,0.13590604,,,
82,-1.17,13.75838926,0.137583893,,,
83,-1.17,13.9261745,0.139261745,,,
84,-1.16,14.09395973,0.140939597,,,
85,-1.16,14.26174497,0.14261745,,,
86,-1.16,14.4295302,0.144295302,,,
87,-1.16,14.59731544,0.145973154,,,
88,-1.16,14.76510067,0.147651007,,,
89,-1.15,14.93288591,0.149328859,,,
90,-1.15,15.10067114,0.151006711,,,
91,-1.14,15.26845638,0.152684564,,,
92,-1.13,15.43624161,0.154362416,,,
93,-1.12,15.60402685,0.156040268,,,
94,-1.09,15.77181208,0.157718121,,,
95,-1.08,15.93959732,0.159395973,,,
96,-1.07,16.10738255,0.161073826,,,
97,-1.05,16.27516779,0.162751678,,,
98,-1.05,16.44295302,0.16442953,,,
99,-1.03,16.61073826,0.166107383,,,
100,-1.02,16.77852349,0.167785235,,,
101,-0.99,16.94630872,0.169463087,,,
102,-0.96,17.11409396,0.17114094,,,
103,-0.95,17.28187919,0.172818792,,,
104,-0.93,17.44966443,0.174496644,,,
105,-0.93,17.61744966,0.176174497,,,
106,-0.92,17.7852349,0.177852349,,,
107,-0.92,17.95302013,0.179530201,,,
108,-0.91,18.12080537,0.181208054,,,
109,-0.9,18.2885906,0.182885906,,,
110,-0.9,18.45637584,0.184563758,,,
111,-0.88,18.62416107,0.186241611,,,
112,-0.88,18.79194631,0.187919463,,,
113,-0.87,18.95973154,0.189597315,,,
114,-0.87,19.12751678,0.191275168,,,
115,-0.86,19.29530201,0.19295302,,,
116,-0.86,19.46308725,0.194630872,,,
117,-0.85,19.63087248,0.196308725,,,
118,-0.85,19.79865772,0.197986577,,,
119,-0.84,19.96644295,0.19966443,,,
120,-0.84,20.13422819,0.201342282,,,
121,-0.82,20.30201342,0.203020134,,,
122,-0.82,20.46979866,0.204697987,,,
123,-0.82,20.63758389,0.206375839,,,
124,-0.81,20.80536913,0.208053691,,,
125,-0.78,20.97315436,0.209731544,,,
126,-0.77,21.1409396,0.211409396,,,
127,-0.77,21.30872483,0.213087248,,,
128,-0.74,21.47651007,0.214765101,,,
129,-0.73,21.6442953,0.216442953,,,
130,-0.72,21.81208054,0.218120805,,,
131,-0.72,21.97986577,0.219798658,,,
132,-0.72,22.14765101,0.22147651,,,
133,-0.72,22.31543624,0.223154362,,,
134,-0.71,22.48322148,0.224832215,,,
135,-0.71,22.65100671,0.226510067,,,
136,-0.71,22.81879195,0.228187919,,,
137,-0.71,22.98657718,0.229865772,,,
138,-0.69,23.15436242,0.231543624,,,
139,-0.68,23.32214765,0.233221477,,,
140,-0.68,23.48993289,0.234899329,,,
141,-0.67,23.65771812,0.236577181,,,
142,-0.66,23.82550336,0.238255034,,,
143,-0.66,23.99328859,0.239932886,,,
144,-0.65,24.16107383,0.241610738,,,
145,-0.64,24.32885906,0.243288591,,,
146,-0.63,24.4966443,0.244966443,,,
147,-0.61,24.66442953,0.246644295,,,
148,-0.6,24.83221477,0.248322148,,,
149,-0.57,25,0.25,,,
150,-0.57,25.16778523,0.251677852,,,
151,-0.57,25.33557047,0.253355705,,,
152,-0.57,25.5033557,0.255033557,,,
153,-0.55,25.67114094,0.256711409,,,
154,-0.54,25.83892617,0.258389262,,,
155,-0.54,26.00671141,0.260067114,,,
156,-0.53,26.17449664,0.261744966,,,
157,-0.53,26.34228188,0.263422819,,,
158,-0.53,26.51006711,0.265100671,,,
159,-0.53,26.67785235,0.266778523,,,
160,-0.52,26.84563758,0.268456376,,,
161,-0.51,27.01342282,0.270134228,,,
162,-0.51,27.18120805,0.271812081,,,
163,-0.51,27.34899329,0.273489933,,,
164,-0.5,27.51677852,0.275167785,,,
165,-0.5,27.68456376,0.276845638,,,
166,-0.5,27.85234899,0.27852349,,,
167,-0.49,28.02013423,0.280201342,,,
